release,review_effort,total_effort,ratio
ambari-2.1.0,106789,292084,0.366
ambari-2.2.0,68822,316411,0.218
ambari-2.4.0,61418,445436,0.138
ambari-2.5.0,107877,484406,0.223
ambari-2.6.0,72071,487664,0.148
ambari-2.7.0,39272,484089,0.081
amq-5.1.0,41566,190852,0.218
amq-5.2.0,43917,204975,0.214
amq-5.4.0,45222,260959,0.173
amq-5.5.0,43546,274603,0.159
amq-5.6.0,41115,306066,0.134
amq-5.7.0,31325,305607,0.103
amq-5.8.0,13497,311711,0.043
amq-5.9.0,56414,315307,0.179
amq-5.10.0,54655,323082,0.169
amq-5.11.0,54056,333415,0.162
amq-5.12.0,50830,350040,0.145
amq-5.14.0,48847,370472,0.132
amq-5.15.0,38680,373372,0.104
bookkeeper-4.2.0,38311,78715,0.487
bookkeeper-4.4.0,15489,60408,0.256
calcite-1.8.0,105332,327252,0.322
calcite-1.11.0,114642,341392,0.336
calcite-1.13.0,109471,273186,0.401
calcite-1.15.0,113317,288305,0.393
calcite-1.16.0,110131,295153,0.373
calcite-1.17.0,107943,299074,0.361
calcite-1.18.0,94339,308933,0.305
cassandra-0.8.6,32460,131184,0.247
cassandra-1.0.9,49452,144502,0.342
cassandra-1.1.6,32140,168159,0.191
cassandra-1.1.11,49576,170533,0.291
cassandra-1.2.11,31048,211949,0.146
flink-1.6.0,18515,608219,0.03
groovy-1.5.5,32184,109318,0.294
groovy-1.6.0,18163,141955,0.128
groovy-1.7.3,22586,156480,0.144
groovy-1.7.6,26345,159176,0.166
groovy-1.8.1,21643,176662,0.123
groovy-1.8.7,34161,183462,0.186
groovy-2.1.0,16295,203909,0.08
groovy-2.1.6,25690,206046,0.125
groovy-2.4.4,16243,243567,0.067
groovy-2.4.6,46808,244632,0.191
groovy-2.4.8,42142,245541,0.172
groovy-2.5.0,27194,279517,0.097
groovy-2.5.5,37968,280363,0.135
hbase-0.94.5,96958,280440,0.346
hbase-0.98.0,112057,606913,0.185
hbase-0.98.5,163954,623281,0.263
hbase-0.98.11,155855,654904,0.238
hive-1.2.0,72229,871574,0.083
hive-2.0.0,61597,1039823,0.059
hive-2.1.0,59972,1112941,0.054
ignite-1.4.0,178714,610699,0.293
ignite-1.6.0,199730,690475,0.289
log4j2-2.1,18458,79796,0.231
log4j2-2.2,19531,80161,0.244
log4j2-2.3,19447,80883,0.24
log4j2-2.4,22339,93481,0.239
log4j2-2.5,25955,103402,0.251
log4j2-2.6,26331,121815,0.216
log4j2-2.7,22463,132836,0.169
log4j2-2.8,22079,138778,0.159
log4j2-2.9,21361,145534,0.147
log4j2-2.10,22634,148721,0.152
mahout-0.4,27061,125301,0.216
mahout-0.5,21357,124968,0.171
mahout-0.6,15783,145593,0.108
mahout-0.7,22517,133660,0.168
mahout-0.8,21896,149368,0.147
mng-3.1.0,17267,91695,0.188
mng-3.2.0,13586,91886,0.148
mng-3.3.0,14192,98343,0.144
mng-3.5.0,13608,99215,0.137
mng-3.6.0,10690,100401,0.106
nifi-1.2.0,102885,416418,0.247
nifi-1.5.0,110434,489997,0.225
nifi-1.8.0,99780,560333,0.178
nutch-1.3,10745,45486,0.236
nutch-1.4,9456,44989,0.21
nutch-1.5,9644,46006,0.21
nutch-1.6,9892,46843,0.211
nutch-1.7,9781,47477,0.206
nutch-1.8,9611,48420,0.198
nutch-1.9,8650,47780,0.181
nutch-1.10,10480,55704,0.188
nutch-1.12,12866,69185,0.186
nutch-1.13,12619,70459,0.179
nutch-1.14,13360,72871,0.183
nutch-1.15,12658,77351,0.164
storm-0.9.3,2231,80758,0.028
storm-1.0.0,12505,221337,0.056
storm-1.0.3,12431,234518,0.053
storm-1.0.5,5485,235508,0.023
tika-0.8,8722,30890,0.282
tika-0.9,8986,34174,0.263
tika-0.10,14093,46748,0.301
tika-1.1,14675,50768,0.289
tika-1.3,13887,58365,0.238
tika-1.5,15778,61281,0.257
tika-1.7,17328,69500,0.249
tika-1.10,21313,87547,0.243
tika-1.13,17089,93972,0.182
tika-1.15,20397,117323,0.174
tika-1.17,14119,120209,0.117
ww-2.0.5,10921,69404,0.157
ww-2.0.10,13180,74189,0.178
ww-2.1.1,16579,75656,0.219
ww-2.1.3,15697,84193,0.186
ww-2.1.7,14227,88316,0.161
ww-2.2.0,40963,195385,0.21
ww-2.2.2,22708,197224,0.115
ww-2.3.1,22378,198580,0.113
ww-2.3.4,22959,199575,0.115
ww-2.3.10,20502,200322,0.102
ww-2.3.15,19243,202082,0.095
ww-2.3.17,17154,204101,0.084
ww-2.3.20,13105,205872,0.064
ww-2.3.24,10118,207064,0.049
zookeeper-3.5.1,14228,65270,0.218
zookeeper-3.5.2,15976,66505,0.24
zookeeper-3.5.3,16428,68039,0.241
