NGram,NGram-C,PMD,CheckStyle,Glance-LR
ambari,0.00880056676295395,0.010712968767302383,0.01178241866968035,0.01114900177425715,0.007367542176351767
amq,0.005921095992953769,0.008697203512955592,0.009535615181475415,0.008698735944319124,0.0033277455557826924
bookkeeper,0.0074627086804658505,0.00859973402269425,0.0083078526518186,0.0087928548390125,0.0045954397286795
calcite,0.02325980811806817,0.03470617123671711,0.03722398303143364,0.0370673893366074,0.014320090644888843
cassandra,0.007490362894544,0.0100107035557422,0.00953822510789234,0.00966062528916618,0.00353406281844928
flink,0.0013409527645612,0.0013752341311134,0.0013932427725531,0.0013729487293117,0.0013311763189668
groovy,0.0037982681747610538,0.004496782110104316,0.004928923632950169,0.004455474712668223,0.003067472516271523
hbase,0.005633839453172125,0.0072020520097992,0.00803474771620265,0.00811911512384755,0.0037330105957546
hive,0.0023367627392442665,0.0025045359713588003,0.0026449995329484,0.0025334317541449,0.0021141702532354333
ignite,0.00842034166457715,0.0124518845083442,0.01416051073491045,0.014002121213794499,0.00510363707817655
log4j2,0.00985833367665257,0.01429983026453047,0.01433774922836244,0.01377126565669834,0.00467484598200616
mahout,0.00852640369342308,0.01143710058489512,0.01319292072988446,0.01286141426478452,0.00596935185382626
mng,0.00303331033865234,0.00410630805024966,0.00479647605464514,0.00274461980903262,0.00098870255095078
nifi,0.0064536715525237666,0.009657034333005101,0.010075574261871965,0.0097118733270331,0.005361567370043233
nutch,0.0061824301194210165,0.008868900607867892,0.008292798916981316,0.00938646873578265,0.002752104683183817
storm,0.001880839547440325,0.00212355793951015,0.0022206189827009,0.002114492805387725,0.0015625290402115194
tika,0.017139566406537465,0.0211409295904653,0.021926492202828964,0.02121952996934008,0.007126525460851009
ww,0.007860618872702028,0.010831607814925807,0.01040437847518,0.009662871118522936,0.0048124123896464924
zookeeper,0.010777861299091068,0.012151694280581367,0.012438390763470766,0.011419295645667567,0.007386437787253267
