project,build_avg_time,pred_avg_time
ambari,17.773096919059753,2.4340543349583945
amq,9.531709487621601,1.5565874026371882
bookkeeper,0.40893638134002686,0.3621327877044678
calcite,7.918688944407871,1.589500563485282
cassandra,2.104226303100586,0.8375091552734375
flink,34.10931968688965,3.497642755508423
groovy,3.3402486581068773,1.147382644506601
hbase,8.803635597229004,2.877480447292328
hive,62.12813941637675,5.533991575241089
ignite,29.4529447555542,3.5869011878967285
log4j2,1.8166512966156005,0.7011486530303955
mahout,2.0614314556121824,0.7568860054016113
mng,1.1069089412689208,0.49413747787475587
nifi,19.154886563618977,3.1793965498606362
nutch,0.4027639826138814,0.30289435386657715
storm,3.7055944204330444,1.0058032870292664
tika,0.5593537417325106,0.37416672706604004
ww,3.097431812967573,0.8336485964911324
zookeeper,0.4247002601623535,0.3401676019032796
