NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,PMD,CheckStyle,Glance-MD,Glance-EA,Glance-LR
ambari,0.35318235721515867,0.5004606446186215,0.6602962129406641,0.4263230382261858,0.6685308837030228,0.5384994153300267,0.4714774584474636,0.42773095140219475,0.6089529626229588,0.5516542565324546,0.3435201491555161,0.35967987944415913,0.34798908488273994
amq,0.3442831319832076,0.4836901908839901,0.6717125471077093,0.35659480813003513,0.690529900639397,0.5364204698420479,0.40325150589869724,0.32362206970910756,0.5715220994203345,0.5035560660524582,0.3097433588457207,0.2794021192673442,0.2038860746380584
bookkeeper,0.44164103859341963,0.564456536621563,0.5798242813503974,0.44406612822168046,0.6304351132463593,0.6724706644050573,0.5875207638388844,0.4298805470618242,0.6210984929515402,0.5855754329967171,0.37488635564556494,0.4851653769208377,0.3719103946942435
calcite,0.37777305059795163,0.5255705695657693,0.6501153211523462,0.38252831204889276,0.6778823310097314,0.4439689421293323,0.3672021095387958,0.343428042907748,0.6210634615730615,0.6004551745159784,0.3563576674436418,0.4680176141523511,0.293457842392434
cassandra,0.42046384386629854,0.5627591075014375,0.6591881500796374,0.40844971162936766,0.6723617628906499,0.5360632622631856,0.45956593405652807,0.359924865944065,0.5875008543977486,0.5267014915103757,0.3383101643480144,0.5048922562305385,0.24235215439196411
flink,0.3625161972749861,0.5016661342610188,0.7055358640416634,0.6266032457871723,0.707107646290338,0.7071071182646598,0.7071115737006187,0.6829250185429172,0.6953273911905419,0.6749985175386969,0.3259864395762288,0.3116529140255157,0.6469661316852049
groovy,0.3721382605398684,0.47496750187584136,0.6609621178821147,0.40266556368234857,0.6683390712637224,0.5974911605264007,0.4892980217280544,0.4052470768675524,0.6121957183346056,0.5169703124251024,0.3346231881863828,0.3671329579504478,0.32846883712759783
hbase,0.39483624436602066,0.4948508359268109,0.6859336180935032,0.4791060926946742,0.6953755911627582,0.6037273462572359,0.5004606535943694,0.4059287565849566,0.5922323394280318,0.5582888447831094,0.3563299126684607,0.5392598912304603,0.29485970599447703
hive,0.4041156731591956,0.5177916584963002,0.6985142999144822,0.5295097653761831,0.703713130057769,0.6920984251839933,0.6552100238785312,0.5622704655342464,0.6652065330300249,0.6345591582405756,0.354841080364581,0.45848875058730554,0.5003741926829641
ignite,0.3241459781392495,0.45850388543724835,0.668521044686606,0.4287044365205977,0.6933202775473427,0.5320755300340327,0.4514372167180555,0.3603712768652539,0.5894553223406453,0.5285529732476923,0.332063883789374,0.3228410692971787,0.25320796252424316
log4j2,0.3844832380924507,0.564475438881447,0.6768475733759879,0.3539563000541417,0.684087751667945,0.46690064284537613,0.31672675405446865,0.275621961638547,0.6024099423465092,0.5518303156078377,0.3362575920501178,0.37847352902133413,0.21623125950368152
mahout,0.37814018657092874,0.5239843409597097,0.6751313320136338,0.41620369417944164,0.676198490121461,0.6133083678131345,0.5047741354864009,0.321391168045744,0.6289272436447435,0.578526427615687,0.3421132430398886,0.395806431733721,0.26602679391443057
mng,0.3981209664493462,0.516323379906861,0.5908423451755743,0.3808016979268715,0.6165010353353242,0.5721292689125422,0.4246219028322338,0.2202600714750281,0.6218175549881171,0.3210018807898329,0.2997738467521736,0.29106149114840524,0.1471727895032744
nifi,0.30503249691237977,0.5032614753922714,0.6750562043606557,0.37333456884876365,0.6965227169009974,0.4797540564210203,0.42956782869193416,0.3595712093275891,0.5996968981538628,0.5438681756403662,0.3656469804418813,0.42638199764778684,0.309468893034603
nutch,0.40386893716832517,0.5568137887032097,0.5506265750453117,0.34849819070564175,0.566817534686036,0.5960184602729633,0.4124116301914654,0.25677902950997994,0.5349105447233746,0.6003757499586855,0.3594826526570215,0.44687846915491813,0.20177648444122384
storm,0.41504846834943304,0.5237011550931311,0.6801901201340796,0.3174212236640011,0.6717211183562144,0.6680062078011647,0.6701928377193327,0.40592969213375585,0.6017940520948726,0.5734503913917426,0.3384860952173926,0.4614783940143182,0.33616926690267734
tika,0.4337927387388663,0.5490690454654168,0.5629640275995264,0.3812036070874351,0.5920963643540731,0.5597743290455784,0.38406014106262537,0.2953639988179575,0.6116357659936923,0.5587088954696613,0.3268888505815467,0.3796298463266575,0.22263020255453045
ww,0.3726083957226884,0.5850950320358456,0.6610300809512539,0.32861048132098486,0.6763265684037876,0.565144953026691,0.41531296147064833,0.2796554670200936,0.5924590268026398,0.5140736755476706,0.3106561064642172,0.3567311360797404,0.21004025073265978
zookeeper,0.4537049536413354,0.5396904006167461,0.5515113172936054,0.4595302765199316,0.6541636703322112,0.6417259776650491,0.6003174294405131,0.3990040903255203,0.6224983568892989,0.5406120393558194,0.3562146420334332,0.41684688815634324,0.3082857547741753
