,recall,far,ce,d2h,mcc,ifa,recall_20,ratio
ambari,0.5601430895834644,0.24438266033626013,0.007435706422376883,0.3566078780737952,0.07798363713862164,1155.0,0.4864398142849266,0.7551666666666668
amq,0.6882134829836892,0.23909133479797295,0.00484240982170136,0.2788130700663644,0.105151656048388,845.3846153846154,0.6178730319016581,0.7854615384615384
bookkeeper,0.3633068488456761,0.24933034015131944,0.0076477418069239,0.48350187982287673,0.0245754013568882,35.0,0.22649724804043345,0.509
calcite,0.38663078235580267,0.2417353184745949,0.03305026100238708,0.46623317153550564,0.06570197820998,161.71428571428572,0.3205186253339093,0.613857142857143
cassandra,0.33232552032880436,0.2500285547360275,0.00975553516748948,0.5042805060120779,0.01988778590561852,434.8,0.2179832950485757,0.479
flink,0.6507566938300349,0.2478661749209694,0.0006562885569527,0.3028271186456726,0.0350152287341555,277.0,0.610011641443539,0.795
groovy,0.5470956507561946,0.24570436502071302,0.0033238874431136076,0.3647956944717384,0.049625069932021586,935.1538461538462,0.41069902026525684,0.6633846153846156
hbase,0.2777316106120026,0.24861779750824387,0.008271032394011875,0.5414003444481581,0.011736864592919127,743.75,0.21060064720068053,0.29225
hive,0.40307304784229453,0.2475590899955223,0.0023084451535651668,0.4571294090592628,0.015552784569145967,1390.6666666666667,0.2798621931049043,0.5983333333333333
ignite,0.6206732275071114,0.2478007100066817,0.0084163606636528,0.3203901597511891,0.10914871726296804,264.5,0.5418967286882819,0.7355
log4j2,0.5310681270934923,0.2438157175948153,0.01021885859973323,0.3740273245847185,0.0841856914560811,222.8,0.4398775813852421,0.5927
mahout,0.5008447344113938,0.24281017447130943,0.00916675545423374,0.3928881651974502,0.07337248352422718,365.8,0.2957675694238038,0.5870000000000001
mng,0.670059375107885,0.2467778544659171,0.00249899926221562,0.2926695308524693,0.06731078495526703,537.0,0.6321811631374158,0.7872
nifi,0.4596721515835644,0.24595684730846776,0.008325977235679667,0.41979502733456076,0.052624259557810436,146.66666666666666,0.3844654780137839,0.7273333333333333
nutch,0.4201327913770951,0.2472836824169903,0.008134579320359249,0.4462604621245079,0.03940751267368029,400.25,0.33013618068180234,0.5736666666666667
storm,0.40276761302936503,0.2515248181915153,0.0021527930269486253,0.45993802879685086,0.012454563255148324,3129.25,0.27957410912153885,0.359
tika,0.5291014905673193,0.2419029244705449,0.01639138583252869,0.376257254558432,0.09392829604490759,494.3636363636364,0.45323499950287827,0.5868181818181818
ww,0.5590276261531885,0.2440069884294004,0.006900875127210601,0.35680275952790375,0.0734132248868529,475.2142857142857,0.4639960510604447,0.651
zookeeper,0.4646464435175175,0.24631261542529972,0.009439275062467233,0.4167096855116276,0.0558577951565279,147.33333333333334,0.40609391392491445,0.7043333333333334
