ambari,3443,1647,10089,2388,667,1341,
amq,2493,2300,2267,1870,973,487,3421,3062,2727,2508,2079,1437,678,
bookkeeper,304,265,
calcite,9268,8833,7995,7475,7456,5042,4270,
cassandra,1294,836,1073,601,420,
flink,518,
groovy,328,400,550,411,1241,166,771,453,725,621,327,1491,1380,
hbase,2026,3858,3286,1432,
hive,407,803,4103,
ignite,6962,6872,
log4j2,856,850,828,959,998,947,1262,890,822,840,
mahout,1453,994,1450,979,505,
mng,355,324,295,161,134,
nifi,4194,3852,2682,
nutch,282,280,284,300,296,196,151,277,399,401,364,261,
storm,102,675,131,70,
tika,377,548,678,692,709,612,644,736,736,618,561,
ww,567,1605,696,614,628,1119,994,1122,800,629,509,287,267,420,
zookeeper,592,490,96,
