NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,Glance-MD,Glance-EA,Glance-LR
ambari,0.9068333333333334,0.6885,0.15283333333333332,0.6925,0.10583333333333333,0.42333333333333334,0.6038333333333333,0.6766666666666666,0.9381666666666667,0.7551666666666667,0.749
amq,0.8750769230769231,0.6659999999999999,0.14669230769230768,0.7603846153846154,0.07638461538461538,0.4969230769230769,0.6758461538461539,0.76,0.8893076923076924,0.7854615384615384,0.8586923076923076
bookkeeper,0.786,0.568,0.4795,0.879,0.39599999999999996,0.229,0.45499999999999996,0.645,0.9675,0.509,0.855
calcite,0.8502857142857143,0.6617142857142857,0.20557142857142857,0.8057142857142857,0.09742857142857143,0.6898571428571428,0.7712857142857142,0.8347142857142857,0.9148571428571429,0.6138571428571429,0.9325714285714286
cassandra,0.7546,0.5,0.1732,0.7502,0.1392,0.5062,0.6276,0.707,0.8962,0.47900000000000004,0.8528
flink,0.923,0.667,0.026,0.346,0.013,0.0,0.0,0.167,0.974,0.795,0.167
groovy,0.8272307692307692,0.6714615384615384,0.19692307692307692,0.6686923076923077,0.1543076923076923,0.36553846153846153,0.5243076923076924,0.6410769230769231,0.9243846153846154,0.6633846153846154,0.7155384615384616
hbase,0.845,0.6635,0.16699999999999998,0.624,0.10925,0.4495,0.66375,0.72075,0.8905000000000001,0.29225,0.83375
hive,0.8856666666666667,0.707,0.06366666666666666,0.579,0.04766666666666666,0.135,0.261,0.4186666666666667,0.9426666666666667,0.5983333333333333,0.5136666666666667
ignite,0.89,0.731,0.129,0.696,0.10149999999999999,0.522,0.679,0.777,0.922,0.7355,0.883
log4j2,0.8019000000000001,0.4873,0.1481,0.7185,0.1153,0.6067,0.7971,0.8292,0.8594999999999999,0.5927,0.8878
mahout,0.8311999999999999,0.5264,0.2112,0.6356,0.1726,0.4018,0.49119999999999997,0.7448,0.849,0.587,0.7954
mng,0.7338,0.6202,0.3224,0.6848,0.3072,0.4582,0.6852,0.8332,0.911,0.7872,0.912
nifi,0.8666666666666667,0.6696666666666666,0.09166666666666666,0.731,0.06766666666666667,0.5026666666666667,0.5063333333333333,0.743,0.938,0.7273333333333333,0.8413333333333334
nutch,0.6865,0.5041666666666667,0.4703333333333333,0.6911666666666667,0.44566666666666666,0.4009166666666667,0.654,0.7800833333333334,0.8583333333333334,0.5736666666666667,0.8535
storm,0.7275,0.5415,0.0955,0.80725,0.12,0.27325,0.18875,0.634,0.9385,0.359,0.6365000000000001
tika,0.7175454545454546,0.4889090909090909,0.4042727272727273,0.6169090909090909,0.40281818181818185,0.492,0.6587272727272727,0.8083636363636364,0.8513636363636363,0.5868181818181818,0.8670909090909091
ww,0.8025714285714286,0.43392857142857144,0.23057142857142857,0.7592857142857142,0.177,0.493,0.6725714285714286,0.8462857142857143,0.9279285714285714,0.651,0.8873571428571428
zookeeper,0.7416666666666667,0.5623333333333334,0.4096666666666667,0.7276666666666667,0.31833333333333336,0.42100000000000004,0.55,0.7766666666666666,0.918,0.7043333333333333,0.904
